GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmCompanyType,0,100,0,6,0,20,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmEmailStatus,0,91,0,6,0,19,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmFormConversionStatus,0,91,0,6,0,19,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmAuditAction,0,181,0,6,0,29,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmConsentStatus,0,73,0,6,0,17,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmWinLossType,0,73,0,6,0,17,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmEntityType,0,91,0,6,0,19,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmActivityPriority,0,82,0,6,0,18,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmAssignableEntity,0,73,0,6,0,17,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmLegalBasis,0,91,0,6,0,19,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmListMemberStatus,0,91,0,6,0,19,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmParticipantRole,0,82,0,6,0,18,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmBounceType,0,73,0,6,0,17,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmFormType,0,100,0,6,0,20,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmConsentType,0,91,0,6,0,19,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmSequenceStepType,0,91,0,6,0,19,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmScoreOperator,0,136,0,6,0,24,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmDealPriority,0,91,0,6,0,19,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmAssignStrategy,0,82,0,6,0,18,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmDirection,0,73,0,6,0,17,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmScorableEntity,0,64,0,6,0,16,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmEnrollmentStatus,0,118,0,6,0,22,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmSyncStatus,0,82,0,6,0,18,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.model.enums,CrmGoalPeriod,0,82,0,6,0,18,0,10,0,7
QBit CRM,com.kingsrook.qbits.crm.core.processes,BulkRemoveTagProcess,10,175,1,3,1,31,1,4,0,3
QBit CRM,com.kingsrook.qbits.crm.core.processes,MergeContactsProcess,74,429,6,12,14,84,5,10,0,6
QBit CRM,com.kingsrook.qbits.crm.core.processes,BulkAssignOwnerProcess.BulkAssignOwnerTransformStep,10,47,0,2,3,13,1,3,1,2
QBit CRM,com.kingsrook.qbits.crm.core.processes,DetectDuplicatesProcess,6,273,3,17,1,54,3,14,0,7
QBit CRM,com.kingsrook.qbits.crm.core.processes,GdprAnonymizeContactProcess,55,294,3,3,11,70,3,6,0,6
QBit CRM,com.kingsrook.qbits.crm.core.processes,BulkAssignOwnerProcess,0,41,0,0,0,13,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.processes,ConvertFormToContactProcess,11,321,7,11,3,72,7,7,0,5
QBit CRM,com.kingsrook.qbits.crm.core.processes,SubscribeToListProcess,2,270,1,7,1,56,1,7,0,4
QBit CRM,com.kingsrook.qbits.crm.core.processes,BulkAddTagProcess,0,182,0,4,0,32,0,5,0,3
QBit CRM,com.kingsrook.qbits.crm.core.processes,ImportContactsProcess,0,215,3,11,0,54,3,7,0,3
QBit CRM,com.kingsrook.qbits.crm.core.processes,UnsubscribeFromListProcess,101,49,2,0,19,11,2,2,1,2
QBit CRM,com.kingsrook.qbits.crm.core.processes,MergeCompaniesProcess,74,292,6,6,14,60,5,6,0,5
QBit CRM,com.kingsrook.qbits.crm.deals.processes,ConvertLeadProcess,24,376,8,10,6,85,8,7,0,6
QBit CRM,com.kingsrook.qbits.crm.deals.processes,ManageContactOnDealProcess,6,288,1,9,1,57,1,10,0,6
QBit CRM,com.kingsrook.qbits.crm.deals.processes,TransferOwnershipProcess,0,178,0,2,0,40,0,5,0,4
QBit CRM,com.kingsrook.qbits.crm.deals.processes,ReopenDealProcess,20,259,7,11,3,66,7,5,0,3
QBit CRM,com.kingsrook.qbits.crm.deals.processes,MoveDealStageProcess,27,301,8,18,7,76,8,9,0,4
QBit CRM,com.kingsrook.qbits.crm.deals.processes,CloneDealProcess,10,274,3,5,2,57,3,6,0,5
QBit CRM,com.kingsrook.qbits.crm.email.processes,ProcessSequenceStepsProcess,141,529,21,21,39,106,20,13,2,9
QBit CRM,com.kingsrook.qbits.crm.email.processes,UnenrollFromSequenceProcess,62,42,2,0,15,10,2,2,1,2
QBit CRM,com.kingsrook.qbits.crm.email.processes,TrackEmailEventProcess,42,239,12,14,10,48,11,8,0,4
QBit CRM,com.kingsrook.qbits.crm.email.processes,SendEmailProcess,10,318,8,12,2,75,8,6,0,4
QBit CRM,com.kingsrook.qbits.crm.email.processes,EnrollInSequenceProcess,13,326,5,13,2,61,5,7,0,3
QBit CRM,com.kingsrook.qbits.crm.deals.model,WinLossReason.TableMetaDataCustomizer,0,68,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.deals.model,WinLossReason,49,44,0,0,23,17,11,12,11,12
QBit CRM,com.kingsrook.qbits.crm.deals.model,ContactRole,45,36,0,0,21,14,10,10,10,10
QBit CRM,com.kingsrook.qbits.crm.deals.model,DealTag.TableMetaDataCustomizer,0,64,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.deals.model,DealProduct.TableMetaDataCustomizer,0,56,0,0,0,8,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.deals.model,DealTag,57,0,0,0,25,0,14,0,14,0
QBit CRM,com.kingsrook.qbits.crm.deals.model,ContactRole.TableMetaDataCustomizer,0,64,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.deals.model,Product.TableMetaDataCustomizer,0,85,0,0,0,12,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.deals.model,Deal,0,261,0,0,0,110,0,65,0,65
QBit CRM,com.kingsrook.qbits.crm.deals.model,DealStageHistory,10,95,0,0,4,41,2,24,2,24
QBit CRM,com.kingsrook.qbits.crm.deals.model,DealProduct,20,97,0,0,8,42,4,25,4,25
QBit CRM,com.kingsrook.qbits.crm.deals.model,Deal.TableMetaDataCustomizer,45,113,7,3,8,16,5,2,0,2
QBit CRM,com.kingsrook.qbits.crm.deals.model,DealContact.TableMetaDataCustomizer,0,76,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.deals.model,PipelineStage.TableMetaDataCustomizer,0,106,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.deals.model,DealContact,15,78,0,0,6,34,3,20,3,20
QBit CRM,com.kingsrook.qbits.crm.deals.model,Product,15,102,0,0,6,44,3,26,3,26
QBit CRM,com.kingsrook.qbits.crm.deals.model,Pipeline,20,73,0,0,8,32,4,19,4,19
QBit CRM,com.kingsrook.qbits.crm.deals.model,PipelineStage,15,126,0,0,6,54,3,32,3,32
QBit CRM,com.kingsrook.qbits.crm.deals.model,Pipeline.TableMetaDataCustomizer,0,68,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.deals.model,DealStageHistory.TableMetaDataCustomizer,0,62,0,0,0,8,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.activities.model,ActivityParticipant,10,71,0,0,4,31,2,18,2,18
QBit CRM,com.kingsrook.qbits.crm.activities.model,Activity.TableMetaDataCustomizer,0,127,0,0,0,16,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.activities.model,ActivityParticipant.TableMetaDataCustomizer,0,54,0,0,0,8,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.activities.model,ActivityOutcome.TableMetaDataCustomizer,0,76,0,0,0,10,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.activities.model,Activity,15,294,0,0,6,124,3,74,3,74
QBit CRM,com.kingsrook.qbits.crm.activities.model,ActivityOutcome,49,44,0,0,23,17,11,12,11,12
QBit CRM,com.kingsrook.qbits.crm.activities.model,ActivityType.TableMetaDataCustomizer,0,76,0,0,0,10,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.activities.model,ActivityType,15,90,0,0,6,39,3,23,3,23
QBit CRM,com.kingsrook.qbits.crm.audit.model,AuditLog,10,119,0,0,4,51,2,30,2,30
QBit CRM,com.kingsrook.qbits.crm.audit.model,AuditLog.PreventDeleteCustomizer,0,8,0,0,0,2,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.audit.model,AuditLog.PreventUpdateCustomizer,0,8,0,0,0,2,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.audit.model,AuditLog.TableMetaDataCustomizer,0,90,0,0,0,12,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,Attachment.TableMetaDataCustomizer,0,70,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,Tag.TableMetaDataCustomizer,0,60,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,Currency,20,109,0,0,8,47,4,28,4,28
QBit CRM,com.kingsrook.qbits.crm.core.model,Contact,0,393,0,0,0,165,0,98,0,98
QBit CRM,com.kingsrook.qbits.crm.core.model,EmailList,25,104,0,0,10,45,5,27,5,27
QBit CRM,com.kingsrook.qbits.crm.core.model,Industry.TableMetaDataCustomizer,0,64,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,ContactTag.TableMetaDataCustomizer,0,64,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,Contact.TableMetaDataCustomizer,45,161,7,3,8,22,5,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,FormSubmission.TableMetaDataCustomizer,0,132,0,0,0,15,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,LeadSource.TableMetaDataCustomizer,0,64,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,Attachment,117,0,0,0,50,0,29,0,29,0
QBit CRM,com.kingsrook.qbits.crm.core.model,Company,0,285,0,0,0,120,0,71,0,71
QBit CRM,com.kingsrook.qbits.crm.core.model,Company.TableMetaDataCustomizer,45,121,7,3,8,18,5,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,Currency.TableMetaDataCustomizer,0,88,0,0,0,10,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,LifecycleStage.TableMetaDataCustomizer,0,72,0,0,0,10,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,EmailList.TableMetaDataCustomizer,0,94,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,ConsentRecord,25,104,0,0,10,45,5,27,5,27
QBit CRM,com.kingsrook.qbits.crm.core.model,ConsentRecord.TableMetaDataCustomizer,0,78,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,CompanyTag,57,0,0,0,25,0,14,0,14,0
QBit CRM,com.kingsrook.qbits.crm.core.model,LeadSource,45,36,0,0,21,14,10,10,10,10
QBit CRM,com.kingsrook.qbits.crm.core.model,EmailListMember.TableMetaDataCustomizer,0,100,0,0,0,10,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,EmailListMember,25,128,0,0,10,55,5,33,5,33
QBit CRM,com.kingsrook.qbits.crm.core.model,FormSubmission,0,297,0,0,0,125,0,74,0,74
QBit CRM,com.kingsrook.qbits.crm.core.model,CompanyTag.TableMetaDataCustomizer,0,64,0,0,0,9,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.core.model,LifecycleStage,15,78,0,0,6,34,3,20,3,20
QBit CRM,com.kingsrook.qbits.crm.core.model,ContactTag,32,25,0,0,15,10,7,7,7,7
QBit CRM,com.kingsrook.qbits.crm.core.model,Tag,46,23,0,0,21,9,10,7,10,7
QBit CRM,com.kingsrook.qbits.crm.core.model,Industry,81,0,0,0,35,0,20,0,20,0
QBit CRM,com.kingsrook.qbits.crm.scoring.processes,AutoAssignProcess,15,517,10,42,5,110,9,28,0,10
QBit CRM,com.kingsrook.qbits.crm.scoring.processes,CalculateLeadScoresProcess,5,269,6,32,2,55,6,21,0,5
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmWinRateWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmStageDurationRenderer,0,230,2,10,0,36,2,7,0,3
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmActivityFeedWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmPipelineSummaryRenderer,1,302,8,16,1,51,8,6,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmRottingDealsRenderer,5,311,6,14,2,45,6,7,0,3
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmSalesLeaderboardRenderer,0,185,2,8,0,34,2,6,0,3
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmRottingDealsWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmDealForecastWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmQuotaAttainmentRenderer,1,315,5,11,0,54,5,6,0,3
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmActivityCountWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmSalesLeaderboardWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmPipelineSummaryWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmPipelineConversionRenderer,1,216,2,10,0,35,2,6,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmStageDurationWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmRecentDealsWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmDealForecastRenderer,5,282,3,9,1,51,4,8,1,5
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmContactTimelineRenderer,6,148,4,8,1,30,4,5,0,3
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmAvgDealSizeWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmAvgDealSizeRenderer,0,184,2,10,0,36,2,6,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmActivityFeedRenderer,4,173,3,9,1,28,3,6,0,3
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmRecentDealsRenderer,9,164,5,7,2,25,5,3,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmActivityCountRenderer,0,158,1,7,0,29,1,5,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmSalesCycleLengthWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmPipelineConversionWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmSalesCycleLengthRenderer,0,194,3,9,0,37,3,5,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmQuotaAttainmentWidgetProducer,0,34,0,0,0,11,0,2,0,2
QBit CRM,com.kingsrook.qbits.crm.widgets,CrmContactTimelineWidgetProducer,0,34,0,0,0,11,0,2,0,2
